X Y Z
3.280100e+06 -2.958420e+06 5.170410e+06
3.283719e+06 -2.951838e+06 5.171875e+06
3.287334e+06 -2.945252e+06 5.173333e+06
3.290945e+06 -2.938662e+06 5.174785e+06
3.294552e+06 -2.932068e+06 5.176230e+06
3.298154e+06 -2.925471e+06 5.177669e+06
3.301752e+06 -2.918870e+06 5.179101e+06
3.305346e+06 -2.912265e+06 5.180526e+06
3.308936e+06 -2.905656e+06 5.181945e+06
3.312522e+06 -2.899044e+06 5.183357e+06
3.316103e+06 -2.892429e+06 5.184763e+06
3.319681e+06 -2.885809e+06 5.186162e+06
3.323254e+06 -2.879186e+06 5.187555e+06
3.326822e+06 -2.872559e+06 5.188941e+06
3.330387e+06 -2.865929e+06 5.190320e+06
3.333947e+06 -2.859294e+06 5.191693e+06
3.337503e+06 -2.852657e+06 5.193059e+06
3.341055e+06 -2.846015e+06 5.194419e+06
3.344603e+06 -2.839370e+06 5.195772e+06
3.348146e+06 -2.832722e+06 5.197119e+06
3.351685e+06 -2.826069e+06 5.198459e+06
3.355220e+06 -2.819414e+06 5.199792e+06
3.358751e+06 -2.812754e+06 5.201119e+06
3.362277e+06 -2.806091e+06 5.202439e+06
3.365799e+06 -2.799425e+06 5.203753e+06
3.369317e+06 -2.792755e+06 5.205060e+06
3.372830e+06 -2.786081e+06 5.206360e+06
3.376339e+06 -2.779404e+06 5.207654e+06
3.379844e+06 -2.772723e+06 5.208941e+06
3.383345e+06 -2.766039e+06 5.210222e+06
3.386841e+06 -2.759351e+06 5.211496e+06
3.390333e+06 -2.752660e+06 5.212763e+06
3.393821e+06 -2.745965e+06 5.214024e+06
3.397304e+06 -2.739267e+06 5.215278e+06
3.400783e+06 -2.732565e+06 5.216526e+06
3.404258e+06 -2.725860e+06 5.217767e+06
3.407728e+06 -2.719151e+06 5.219001e+06
3.411194e+06 -2.712439e+06 5.220229e+06
3.414656e+06 -2.705724e+06 5.221450e+06
3.418113e+06 -2.699005e+06 5.222665e+06
3.421566e+06 -2.692282e+06 5.223873e+06
3.425015e+06 -2.685556e+06 5.225074e+06
3.428460e+06 -2.678827e+06 5.226269e+06
3.431899e+06 -2.672094e+06 5.227457e+06
3.435335e+06 -2.665358e+06 5.228638e+06
3.438766e+06 -2.658619e+06 5.229813e+06
3.442193e+06 -2.651876e+06 5.230981e+06
3.445616e+06 -2.645130e+06 5.232142e+06
3.449034e+06 -2.638380e+06 5.233297e+06
3.452448e+06 -2.631627e+06 5.234446e+06
3.455857e+06 -2.624871e+06 5.235587e+06
3.459262e+06 -2.618111e+06 5.236722e+06
3.462663e+06 -2.611348e+06 5.237851e+06
3.466059e+06 -2.604582e+06 5.238972e+06
3.469450e+06 -2.597813e+06 5.240087e+06
3.472838e+06 -2.591040e+06 5.241196e+06
3.476221e+06 -2.584264e+06 5.242298e+06
3.479599e+06 -2.577484e+06 5.243393e+06
3.482973e+06 -2.570701e+06 5.244481e+06
3.486343e+06 -2.563915e+06 5.245563e+06
3.489708e+06 -2.557126e+06 5.246638e+06
